forecast_type,forecast_effective,forecast_expires,location_id,location_tz,date,start_time,end_time,start_time_local,end_time_local,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T16:00:00Z,2025-10-04T17:00:00Z,11 AM,12 PM,3.8,10,mph,NNE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T17:00:00Z,2025-10-04T18:00:00Z,12 PM,1 PM,5.2,10,mph,NNE
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T18:00:00Z,2025-10-04T19:00:00Z,1 PM,2 PM,6.3,10,mph,N
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T19:00:00Z,2025-10-04T20:00:00Z,2 PM,3 PM,7.4,10,mph,N
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T20:00:00Z,2025-10-04T21:00:00Z,3 PM,4 PM,8,10,mph,N
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T21:00:00Z,2025-10-04T22:00:00Z,4 PM,5 PM,8.2,10,mph,N
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-04,2025-10-04T22:00:00Z,2025-10-04T23:00:00Z,5 PM,6 PM,7.4,10,mph,N
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T11:00:00Z,2025-10-05T12:00:00Z,6 AM,7 AM,1.5,14,mph,NW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T12:00:00Z,2025-10-05T13:00:00Z,7 AM,8 AM,1.8,15,mph,NW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T13:00:00Z,2025-10-05T14:00:00Z,8 AM,9 AM,1.8,16,mph,NW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T14:00:00Z,2025-10-05T15:00:00Z,9 AM,10 AM,1.9,17,mph,NW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T15:00:00Z,2025-10-05T16:00:00Z,10 AM,11 AM,2.2,18,mph,NW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T16:00:00Z,2025-10-05T17:00:00Z,11 AM,12 PM,2.4,20,mph,NW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T17:00:00Z,2025-10-05T18:00:00Z,12 PM,1 PM,2.7,20,mph,NW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T18:00:00Z,2025-10-05T19:00:00Z,1 PM,2 PM,3.2,20,mph,NW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T19:00:00Z,2025-10-05T20:00:00Z,2 PM,3 PM,4.1,20,mph,NW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T20:00:00Z,2025-10-05T21:00:00Z,3 PM,4 PM,5.3,20,mph,WNW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T21:00:00Z,2025-10-05T22:00:00Z,4 PM,5 PM,5.8,18,mph,WNW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-05,2025-10-05T22:00:00Z,2025-10-05T23:00:00Z,5 PM,6 PM,5.7,16,mph,WNW
hourly,2025-10-01T08:40:26Z,2025-10-01T08:55:26Z,111,America/Chicago,2025-10-06,2025-10-06T11:00:00Z,2025-10-06T12:00:00Z,6 AM,7 AM,1.9,10,mph,W
